fc2167c was PoornimaSanjeevi, 10 hours ago, message: Update README.md
3d73f42 was PoornimaSanjeevi, 11 hours ago, message: mobile data fix
322b04b was Mallika, 5 days ago, message: Reverted DT to earlier format
7f8013b was Mallika, 5 days ago, message: Reverted The DT graphics
dea14c5 was Mallika, 5 days ago, message: add back file
c2b3df6 was Mallika, 5 days ago, message: Reset changes
23d16ea was Mallika, 5 days ago, message: Resolved issue in EvalDataCleanseService
9c347d8 was Mallika, 5 days ago, message: Merge branch 'master' of github.com:mallikakulkarni/SmartSecure
ebd9e81 was Mallika, 5 days ago, message: Data usage debug
0a50aa1 was PoornimaSanjeevi, 5 days ago, message: Locking android device
8763849 was PoornimaSanjeevi, 6 days ago, message: Removing pin testing code
b17e66a was Mallika, 5 days ago, message: Debug added to evalDatacleanse
464ff65 was Mallika, 6 days ago, message: Context Singleton
32b765c was Mallika, 6 days ago, message: Merge branch 'master' of github.com:mallikakulkarni/SmartSecure
8939c56 was Mallika, 6 days ago, message: Password reset functionality
00f292d was PoornimaSanjeevi, 7 days ago, message: Lat,Long bug Fix and forgot password option
8f05571 was Tania Chanda, 8 days ago, message: Django Web Application
18e8aed was Tania Chanda, 9 days ago, message: background image
0d7df8a was PoornimaSanjeevi, 11 days ago, message: warning message display bug fix
b860d89 was PoornimaSanjeevi, 2 weeks ago, message: Sending data small change in logic
a12a702 was Mallika, 2 weeks ago, message: Merge branch 'master' of github.com:mallikakulkarni/SmartSecure
2823a61 was Mallika, 2 weeks ago, message: Modified DT Algorithm
4d4b059 was Apoorva, 2 weeks ago, message: Merge remote-tracking branch 'origin/master'
efebb8b was Apoorva, 2 weeks ago, message: Fixed the bug for PST time
5dc84b2 was Tania Chanda, 2 weeks ago, message: address issue fixed
dc847de was Mallika, 2 weeks ago, message: Fixed DT REcusrsion
cb3c2da was Apoorva, 2 weeks ago, message: Merge remote-tracking branch 'origin/master'
fbfe600 was Apoorva, 2 weeks ago, message: Fixed the bug for PST time
b58afc0 was PoornimaSanjeevi, 2 weeks ago, message: Removed background image
7998d34 was PoornimaSanjeevi, 2 weeks ago, message: Updating preferred location to mongodb
b16c5eb was Apoorva, 2 weeks ago, message: Merge branch 'master' of https://github.com/mallikakulkarni/SmartSecure
a939cf0 was Apoorva, 2 weeks ago, message: Fixed a bug to avoid null records in training data
8cd5d19 was Mallika, 2 weeks ago, message: Logback fixes
8dd1bcb was Mallika, 2 weeks ago, message: use 1.7
2abbfb4 was Mallika, 2 weeks ago, message: fix
37d4b39 was Tania Chanda, 2 weeks ago, message: scolling fixed
2fab53a was Tania Chanda, 2 weeks ago, message: app icon
8f02307 was Tania Chanda, 2 weeks ago, message: Merge branch 'master' of https://github.com/mallikakulkarni/SmartSecure POPUP UI changed
cbdf2c2 was Tania Chanda, 2 weeks ago, message: popup UI change
9f70bdc was PoornimaSanjeevi, 2 weeks ago, message: Encryption and messages for alert and warning
8f70ede was Tania Chanda, 2 weeks ago, message: UI background +
176c335 was Tania Chanda, 2 weeks ago, message: UI changes
d6b8842 was PoornimaSanjeevi, 3 weeks ago, message: Updating incorrect password attempt
ad61470 was PoornimaSanjeevi, 3 weeks ago, message: Changed appname
6571619 was Mallika, 3 weeks ago, message: Merge branch 'master' of github.com:mallikakulkarni/SmartSecure
fab47e0 was Mallika, 3 weeks ago, message: Changed to String value for Decision Tree Output. Removed Duplicate values and Safe values
bbb767c was PoornimaSanjeevi, 3 weeks ago, message: password 3 retries and email issue fix
a3cbfdc was Tania Chanda, 3 weeks ago, message: making addesses mandetory
20672d6 was Apoorva, 3 weeks ago, message: Merge branch 'master' of https://github.com/mallikakulkarni/SmartSecure
5983ef7 was Apoorva, 3 weeks ago, message: Fixed a bug for Data Usage and tested
